age_label,date,experiment,gender,image_id,label,magnification,organism_label,platform,s3downloadkey,strain,experiment_id
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_4,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000244/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_002/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_002.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_5,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000244/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_003/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_003.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_6,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000244/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_004/2015-10-14_20X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_004.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_7,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_8,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001a/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001a.tif,African_American,LMEX0000000244
four years old,10/14/2015,LMXT0000000003,Female,LMEX0000000244_IMG_9,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000244/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001b/2015-10-14_60X_LMH-15-D001-RLL-6C2-22_KRT14_MUC5B_MUC5AC_001b.tif,African_American,LMEX0000000244
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_1,confocal LMXT0000000003 in human strain African_American,100X,homo sapiens,confocal,LMEX0000000245/2015-05-07_100X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_001/2015-05-07_100X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_001.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_10,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000245/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_001/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_001.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_11,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000245/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_002/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_002.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_12,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000245/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_002a/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_002a.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_13,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000245/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_003/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_003.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_14,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000245/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_003a/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_003a.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_15,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000245/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_004/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_004.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_16,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000245/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_004a/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_004a.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_17,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000245/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_005/2015-05-07_60X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_005.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_2,confocal LMXT0000000003 in human strain African_American,100X,homo sapiens,confocal,LMEX0000000245/2015-05-07_100X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_003/2015-05-07_100X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_003.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_3,confocal LMXT0000000003 in human strain African_American,100X,homo sapiens,confocal,LMEX0000000245/2015-05-07_100X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_004a/2015-05-07_100X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_004a.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_4,confocal LMXT0000000003 in human strain African_American,100X,homo sapiens,confocal,LMEX0000000245/2015-05-07_100X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_005/2015-05-07_100X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_005.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_5,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000245/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_001/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_001.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_6,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000245/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_002/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_002.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_7,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000245/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_003/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_003.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_8,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000245/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_004/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_004.tif,African_American,LMEX0000000245
four years old,05/07/2015,LMXT0000000003,Female,LMEX0000000245_IMG_9,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000245/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_005/2015-05-07_20X_LMH-15-D001-LLL-6B2-18_HOPX_ABCA3_ACTA2_005.tif,African_American,LMEX0000000245
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_1,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000247/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_001/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_001.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_10,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000247/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_004/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_004.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_11,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000247/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_004a/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_004a.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_2,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000247/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_002/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_002.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_3,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000247/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_002_5X5_TileScan/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_002_5X5_TileScan.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_4,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000247/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_003/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_003.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_5,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000247/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_004/2015-09-21_20X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_004.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_6,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000247/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_001/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_001.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_7,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000247/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_002/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_002.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_8,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000247/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_002a/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_002a.tif,African_American,LMEX0000000247
four years old,9/21/2015,LMXT0000000003,Female,LMEX0000000247_IMG_9,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000247/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_003/2015-09-21_60X_LMH-15-D001-RLL-9C1-40_HOPX_ABCA3_ACTA2_003.tif,African_American,LMEX0000000247
four years old,05/12/2015,LMXT0000000003,Female,LMEX0000000250_IMG_1,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000250/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_001/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_001.tif,African_American,LMEX0000000250
four years old,05/12/2015,LMXT0000000003,Female,LMEX0000000250_IMG_10,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000250/2015-05-12_60X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_004/2015-05-12_60X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_004.tif,African_American,LMEX0000000250
four years old,05/12/2015,LMXT0000000003,Female,LMEX0000000250_IMG_11,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000250/2015-05-12_60X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_005/2015-05-12_60X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_005.tif,African_American,LMEX0000000250
four years old,05/12/2015,LMXT0000000003,Female,LMEX0000000250_IMG_2,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000250/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_002/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_002.tif,African_American,LMEX0000000250
four years old,05/12/2015,LMXT0000000003,Female,LMEX0000000250_IMG_3,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000250/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_003/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_003.tif,African_American,LMEX0000000250
four years old,05/12/2015,LMXT0000000003,Female,LMEX0000000250_IMG_4,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000250/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_004/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_004.tif,African_American,LMEX0000000250
four years old,05/12/2015,LMXT0000000003,Female,LMEX0000000250_IMG_5,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000250/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_005/2015-05-12_20X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_005.tif,African_American,LMEX0000000250
four years old,05/12/2015,LMXT0000000003,Female,LMEX0000000250_IMG_6,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000250/2015-05-12_60X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_001/2015-05-12_60X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_001.tif,African_American,LMEX0000000250
four years old,05/12/2015,LMXT0000000003,Female,LMEX0000000250_IMG_7,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000250/2015-05-12_60X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_002/2015-05-12_60X_LMH-15-D001-LLL-7B2-23_HOPX_NKX2.1_ACTA2_002.tif,African_American,LMEX0000000250
nine months old,10/14/2015,LMXT0000000003,Male,LMEX0000000246_IMG_1,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000246/2015-10-14_20X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_001/2015-10-14_20X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_001.tif,African_American,LMEX0000000246
nine months old,10/14/2015,LMXT0000000003,Male,LMEX0000000246_IMG_2,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000246/2015-10-14_20X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_001_6x6_TileScan/2015-10-14_20X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_001_6x6_TileScan.tif,African_American,LMEX0000000246
nine months old,10/14/2015,LMXT0000000003,Male,LMEX0000000246_IMG_3,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000246/2015-10-14_20X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_002/2015-10-14_20X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_002.tif,African_American,LMEX0000000246
nine months old,10/14/2015,LMXT0000000003,Male,LMEX0000000246_IMG_4,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000246/2015-10-14_20X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_003/2015-10-14_20X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_003.tif,African_American,LMEX0000000246
nine months old,10/14/2015,LMXT0000000003,Male,LMEX0000000246_IMG_5,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000246/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_001/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_001.tif,African_American,LMEX0000000246
nine months old,10/14/2015,LMXT0000000003,Male,LMEX0000000246_IMG_6,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000246/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_001a/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_001a.tif,African_American,LMEX0000000246
nine months old,10/14/2015,LMXT0000000003,Male,LMEX0000000246_IMG_7,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000246/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_002/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_002.tif,African_American,LMEX0000000246
nine months old,10/14/2015,LMXT0000000003,Male,LMEX0000000246_IMG_8,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000246/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_003/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_003.tif,African_American,LMEX0000000246
nine months old,10/14/2015,LMXT0000000003,Male,LMEX0000000246_IMG_9,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000246/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_003a/2015-10-14_60X_LMH-15-D003-RLL-9B2-16_KRT14_MUC5B_MUC5AC_003a.tif,African_American,LMEX0000000246
nine months old,10/12/2015,LMXT0000000003,Male,LMEX0000000248_IMG_1,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000248/2015-10-12_20X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_001/2015-10-12_20X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_001.tif,African_American,LMEX0000000248
nine months old,10/12/2015,LMXT0000000003,Male,LMEX0000000248_IMG_2,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000248/2015-10-12_20X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_002/2015-10-12_20X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_002.tif,African_American,LMEX0000000248
nine months old,10/12/2015,LMXT0000000003,Male,LMEX0000000248_IMG_3,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000248/2015-10-12_20X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_003/2015-10-12_20X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_003.tif,African_American,LMEX0000000248
nine months old,10/12/2015,LMXT0000000003,Male,LMEX0000000248_IMG_4,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000248/2015-10-12_60X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_001/2015-10-12_60X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_001.tif,African_American,LMEX0000000248
nine months old,10/12/2015,LMXT0000000003,Male,LMEX0000000248_IMG_5,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000248/2015-10-12_60X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_002/2015-10-12_60X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_002.tif,African_American,LMEX0000000248
nine months old,10/12/2015,LMXT0000000003,Male,LMEX0000000248_IMG_6,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000248/2015-10-12_60X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_003/2015-10-12_60X_LMH-15-D003-RLL-9B2-12_SCGBA1A_TUBB3_MUC5AC_003.tif,African_American,LMEX0000000248
nine months old,09/10/2015,LMXT0000000003,Male,LMEX0000000249_IMG_1,confocal LMXT0000000003 in human strain African_American,20X,homo sapiens,confocal,LMEX0000000249/2015-09-10_20X_LMH-15-D003-RLL-9B2-10_NKX2.1_ABCA3_ACTA2_001/2015-09-10_20X_LMH-15-D003-RLL-9B2-10_NKX2.1_ABCA3_ACTA2_001.tif,African_American,LMEX0000000249
nine months old,09/10/2015,LMXT0000000003,Male,LMEX0000000249_IMG_10,confocal LMXT0000000003 in human strain African_American,60X,homo sapiens,confocal,LMEX0000000249/2015-09-10_60X_LMH-15-D003-RLL-9B2-10_NKX2.1_ABCA3_ACTA2_003/2015-09-10_60X_LMH-15-D003-RLL-9B2-10_NKX2.1_ABCA3_ACTA2_003.tif,African_American,LMEX0000000249
